동이름,경도,위도
중앙동,127.4311,36.3289194444444
효동,127.443863888888,36.3140805555555
신인동,127.437938,36.323425
판암동,127.459852777777,36.3144027777777
용운동,127.4636,36.3251583333333
대동,127.447866666666,36.3254166666666
자양동,127.451241666666,36.3324611111111
가양동,127.443577777777,36.3440888888888
용전동,127.434411111111,36.3551055555555
성남동,127.4374361,36.3445416
홍도동,127.425455555555,36.3440361111111
삼성동,127.4221987,36.3405954
대청동,127.494730555555,36.3406472222222
산내동,127.469975,36.278625
은행선화동,127.4204,36.3248444444444
목동,127.414622222222,36.33145
중촌동,127.412426,36.33890382
대흥동,127.428030555555,36.3173972222222
문창동,127.440055555555,36.3132722222222
석교동,127.444533333333,36.3067277777777
대사동,127.426975,36.3147138888888
부사동,127.435822222222,36.3112722222222
용두동,127.412475,36.3225694444444
오류동,127.405922222222,36.3226
태평동,127.395,36.318325
유천동,127.401330555555,36.3124833333333
문화동,127.408641666666,36.3124277777777
산성동,127.388219444444,36.3024361111111
복수동,127.375977777777,36.3038333333333
도마동,127.383186111111,36.3130638888888
정림동,127.368863888888,36.3015472222222
변동,127.388888888888,36.3229166666666
용문동,127.396388888888,36.3336944444444
탄방동,127.397263888888,36.3436694444444
괴정동,127.384141666666,36.3342583333333
가장동,127.387352777777,36.32715
내동,127.379508333333,36.3292583333333
갈마동,127.369975,36.3497444444444
월평동,127.369,36.3573611111111
가수원동,127.351411111111,36.3006166666666
도안동,127.346732378171,36.3236179406995
관저동,127.3394,36.3009111111111
기성동,127.343763888888,36.2529305555555
둔산동,127.387941666666,36.3495194444444
만년동,127.377130555555,36.3646277777777
진잠동,127.318599999999,36.29685
학하동,127.30872977332,36.3411396869139
상대동,127.334691269024,36.346794528901
온천동,127.341111111111,36.3502555555555
노은동,127.320555555555,36.3653305555555
신성동,127.349533333333,36.38625
전민동,127.402530555555,36.3970277777777
구즉동,127.385922222222,36.4374694444444
관평동,127.3887774,36.42316994
원신흥동,127.343296,36.342146
오정동,127.411975,36.3508333333333
대화동,127.413463888888,36.36345
회덕동,127.4236,36.3733333333333
비래동,127.452022222222,36.3520138888888
송촌동,127.442033333333,36.3627222222222
중리동,127.428552777777,36.3577222222222
신탄진동,127.431208333333,36.4487888888888
석봉동,127.427875,36.4451944444444
덕암동,127.429075,36.4373444444444
목상동,127.414330555555,36.445575
법동,127.428897222222,36.3679055555555
와동,127.431734623987,36.407592069952
평촌동,127.427616905159,36.4390069887851
계산동,127.289945203151,36.3456664954889
봉산동,127.37469207384552,36.44795042264134
장대동,127.331889116026,36.357377195399
반석동,127.315511275242,36.3893807757737
가오동,127.45777869217,36.3065783102815
지족동,127.309564564645,36.3794510030918
어은동,127.359014821229,36.378440290291
연축동,127.426391891489,36.3895663136721
신대동,127.420665240118,36.4067574445945
신흥동,127.439203961471,36.3235000258335
덕명동,127.28855814507664,36.34532019563783
도룡동,127.387083357596,36.3771630932471
읍내동,127.421524862385,36.3840648350026
대정동,127.307183073305,36.3213402437552
대성동,127.47752156158,36.2992592107479
둔곡동,127.36756978583492,36.45427618153463
천동,127.442376044831,36.313916019531
사정동,127.397754143625,36.2893534027601
선화동,127.4284484877877,36.32800529542503
가정동,127.37254594850664,36.378833223288574
송강동,127.385177134618,36.4357703013013
교촌동,127.31528644361416,36.30380015649891
봉명동,127.348278945769,36.3550740046837
상서동,127.415087609729,36.42434064808
하기동,127.320282507149,36.3863077007016
인동,127.435336181057,36.3226859931936
용산동,127.398117661268,36.4211830850931
궁동,127.350218030314,36.3621587791143
죽동,127.338132818303,36.3733627369307
문지동,127.410109106868,36.3945040537104
원내동,127.31624957599443,36.29967920124162
구암동,127.320342455856,36.3596147869831
낭월동,127.48111139874166,36.29971072880948
신일동,127.410849264267,36.4427714425508
용계동,127.328914136821,36.3324228106501
